country,date,confirmed,deaths,recovered
Brazil,"Apr 12, 2020 @ 00:00:00.000",20727,1124,173
Brazil,"Apr 13, 2020 @ 00:00:00.000",22192,1223,173
Brazil,"Apr 14, 2020 @ 00:00:00.000",23430,1328,173
Brazil,"Apr 15, 2020 @ 00:00:00.000",25262,1532,3046
Brazil,"Apr 16, 2020 @ 00:00:00.000",28320,1736,14026
Brazil,"Apr 17, 2020 @ 00:00:00.000",30425,1924,14026
Brazil,"Apr 18, 2020 @ 00:00:00.000",33682,2141,14026
Brazil,"Apr 19, 2020 @ 00:00:00.000",36658,2354,14026
Brazil,"Apr 20, 2020 @ 00:00:00.000",38654,2462,22130
Brazil,"Apr 21, 2020 @ 00:00:00.000",40743,2587,22130
Brazil,"Apr 22, 2020 @ 00:00:00.000",43079,2741,22991
Brazil,"Apr 23, 2020 @ 00:00:00.000",45757,2906,25318
Brazil,"Apr 24, 2020 @ 00:00:00.000",50036,3331,26573
Brazil,"Apr 25, 2020 @ 00:00:00.000",54043,3704,27655
Brazil,"Apr 26, 2020 @ 00:00:00.000",59324,4057,29160
Brazil,"Apr 27, 2020 @ 00:00:00.000",63100,4286,30152
Brazil,"Apr 28, 2020 @ 00:00:00.000",67446,4603,31142
Brazil,"Apr 29, 2020 @ 00:00:00.000",73235,5083,32544
Brazil,"Apr 30, 2020 @ 00:00:00.000",79685,5513,34132
Brazil,"May 1, 2020 @ 00:00:00.000",87187,6006,35935
Brazil,"May 2, 2020 @ 00:00:00.000",92202,6412,38039
Brazil,"May 3, 2020 @ 00:00:00.000",97100,6761,40937
Brazil,"May 4, 2020 @ 00:00:00.000",101826,7051,42991
Brazil,"May 5, 2020 @ 00:00:00.000",108620,7367,45815
Brazil,"May 6, 2020 @ 00:00:00.000",115455,7938,48221
Brazil,"May 7, 2020 @ 00:00:00.000",126611,8588,51370
Brazil,"May 8, 2020 @ 00:00:00.000",135773,9190,55350
Brazil,"May 9, 2020 @ 00:00:00.000",146894,10017,59297
Brazil,"May 10, 2020 @ 00:00:00.000",156061,10656,61685
