country,date,confirmed,deaths,recovered
Germany,"Jan 23, 2020 @ 00:00:00.000",0,0,0
Germany,"Jan 24, 2020 @ 00:00:00.000",0,0,0
Germany,"Jan 25, 2020 @ 00:00:00.000",0,0,0
Germany,"Jan 26, 2020 @ 00:00:00.000",0,0,0
Germany,"Jan 27, 2020 @ 00:00:00.000",0,0,0
Germany,"Jan 28, 2020 @ 00:00:00.000",1,0,0
Germany,"Jan 29, 2020 @ 00:00:00.000",4,0,0
Germany,"Jan 30, 2020 @ 00:00:00.000",4,0,0
Germany,"Jan 31, 2020 @ 00:00:00.000",4,0,0
Germany,"Feb 1, 2020 @ 00:00:00.000",5,0,0
Germany,"Feb 2, 2020 @ 00:00:00.000",8,0,0
Germany,"Feb 3, 2020 @ 00:00:00.000",10,0,0
Germany,"Feb 4, 2020 @ 00:00:00.000",12,0,0
Germany,"Feb 5, 2020 @ 00:00:00.000",12,0,0
Germany,"Feb 6, 2020 @ 00:00:00.000",12,0,0
Germany,"Feb 7, 2020 @ 00:00:00.000",12,0,0
Germany,"Feb 8, 2020 @ 00:00:00.000",13,0,0
Germany,"Feb 9, 2020 @ 00:00:00.000",13,0,0
Germany,"Feb 10, 2020 @ 00:00:00.000",14,0,0
Germany,"Feb 11, 2020 @ 00:00:00.000",14,0,0
Germany,"Feb 12, 2020 @ 00:00:00.000",16,0,0
Germany,"Feb 13, 2020 @ 00:00:00.000",16,0,0
Germany,"Feb 14, 2020 @ 00:00:00.000",16,0,1
Germany,"Feb 15, 2020 @ 00:00:00.000",16,0,1
Germany,"Feb 16, 2020 @ 00:00:00.000",16,0,1
Germany,"Feb 17, 2020 @ 00:00:00.000",16,0,1
Germany,"Feb 18, 2020 @ 00:00:00.000",16,0,1
Germany,"Feb 19, 2020 @ 00:00:00.000",16,0,12
Germany,"Feb 20, 2020 @ 00:00:00.000",16,0,12
Germany,"Feb 21, 2020 @ 00:00:00.000",16,0,12
Germany,"Feb 22, 2020 @ 00:00:00.000",16,0,14
Germany,"Feb 23, 2020 @ 00:00:00.000",16,0,14
Germany,"Feb 24, 2020 @ 00:00:00.000",16,0,14
Germany,"Feb 25, 2020 @ 00:00:00.000",16,0,14
Germany,"Feb 26, 2020 @ 00:00:00.000",17,0,14
Germany,"Feb 27, 2020 @ 00:00:00.000",27,0,15
Germany,"Feb 28, 2020 @ 00:00:00.000",46,0,16
Germany,"Feb 29, 2020 @ 00:00:00.000",48,0,16
Germany,"Mar 1, 2020 @ 00:00:00.000",79,0,16
Germany,"Mar 2, 2020 @ 00:00:00.000",130,0,16
Germany,"Mar 3, 2020 @ 00:00:00.000",159,0,16
Germany,"Mar 4, 2020 @ 00:00:00.000",196,0,16
Germany,"Mar 5, 2020 @ 00:00:00.000",262,0,16
Germany,"Mar 6, 2020 @ 00:00:00.000",482,0,16
Germany,"Mar 7, 2020 @ 00:00:00.000",670,0,17
Germany,"Mar 8, 2020 @ 00:00:00.000",799,0,18
Germany,"Mar 9, 2020 @ 00:00:00.000",1040,0,18
Germany,"Mar 10, 2020 @ 00:00:00.000",1176,2,18
Germany,"Mar 11, 2020 @ 00:00:00.000",1457,2,18
Germany,"Mar 12, 2020 @ 00:00:00.000",1908,3,25
Germany,"Mar 13, 2020 @ 00:00:00.000",2078,3,25
Germany,"Mar 14, 2020 @ 00:00:00.000",3675,7,46
