country,date,confirmed,deaths,recovered
India,"Jun 19, 2020 @ 00:00:00.000",380532,12573,204711
India,"Jun 20, 2020 @ 00:00:00.000",395048,12948,213831
India,"Jun 21, 2020 @ 00:00:00.000",410451,13254,227728
India,"Jun 22, 2020 @ 00:00:00.000",425282,13699,237196
India,"Jun 23, 2020 @ 00:00:00.000",440215,14011,248190
India,"Jun 24, 2020 @ 00:00:00.000",456183,14476,258685
India,"Jun 25, 2020 @ 00:00:00.000",473105,14894,271697
India,"Jun 26, 2020 @ 00:00:00.000",490401,15301,285637
India,"Jun 27, 2020 @ 00:00:00.000",508953,15685,295881
India,"Jun 28, 2020 @ 00:00:00.000",528859,16095,309713
India,"Jun 29, 2020 @ 00:00:00.000",548318,16475,321723
India,"Jun 30, 2020 @ 00:00:00.000",566840,16893,334822
India,"Jul 1, 2020 @ 00:00:00.000",585481,17400,347912
India,"Jul 2, 2020 @ 00:00:00.000",604641,17834,359860
India,"Jul 3, 2020 @ 00:00:00.000",625544,18213,379892
India,"Jul 4, 2020 @ 00:00:00.000",648315,18655,394227
India,"Jul 5, 2020 @ 00:00:00.000",673165,19268,409083
India,"Jul 6, 2020 @ 00:00:00.000",697413,19693,424433
India,"Jul 7, 2020 @ 00:00:00.000",719664,20159,439934
India,"Jul 8, 2020 @ 00:00:00.000",742417,20642,456831
India,"Jul 9, 2020 @ 00:00:00.000",767296,21129,476378
India,"Jul 10, 2020 @ 00:00:00.000",793802,21604,495513
India,"Jul 11, 2020 @ 00:00:00.000",820916,22123,515386
India,"Jul 12, 2020 @ 00:00:00.000",849522,22673,534618
India,"Jul 13, 2020 @ 00:00:00.000",878254,23174,553471
India,"Jul 14, 2020 @ 00:00:00.000",906752,23727,571460
India,"Jul 15, 2020 @ 00:00:00.000",936181,24309,592032
India,"Jul 16, 2020 @ 00:00:00.000",968857,24914,612768
India,"Jul 17, 2020 @ 00:00:00.000",1003832,25602,635757
India,"Jul 18, 2020 @ 00:00:00.000",1039084,26273,653751
India,"Jul 19, 2020 @ 00:00:00.000",1077781,26816,677423
India,"Jul 20, 2020 @ 00:00:00.000",1118206,27497,700087
India,"Jul 21, 2020 @ 00:00:00.000",1155338,28082,724578
India,"Jul 22, 2020 @ 00:00:00.000",1193078,28732,753050
India,"Jul 23, 2020 @ 00:00:00.000",1238798,29861,782607
India,"Jul 24, 2020 @ 00:00:00.000",1288108,30601,817209
India,"Jul 25, 2020 @ 00:00:00.000",1337024,31358,849432
India,"Jul 26, 2020 @ 00:00:00.000",1385635,32060,885573
India,"Jul 27, 2020 @ 00:00:00.000",1435616,32771,917568
India,"Jul 28, 2020 @ 00:00:00.000",1480073,33408,951166
India,"Jul 29, 2020 @ 00:00:00.000",1531669,34193,988029
India,"Jul 30, 2020 @ 00:00:00.000",1581963,34955,1019735
India,"Jul 31, 2020 @ 00:00:00.000",1634746,35718,1055348
India,"Aug 1, 2020 @ 00:00:00.000",1695988,36511,1094374
India,"Aug 2, 2020 @ 00:00:00.000",1750723,37364,1145629
India,"Aug 3, 2020 @ 00:00:00.000",1803695,38135,1186203
India,"Aug 4, 2020 @ 00:00:00.000",1855745,38938,1230509
India,"Aug 5, 2020 @ 00:00:00.000",1908254,39795,1282215
India,"Aug 6, 2020 @ 00:00:00.000",1964536,40699,1328336
India,"Aug 7, 2020 @ 00:00:00.000",2027074,41585,1378105
India,"Aug 8, 2020 @ 00:00:00.000",2088611,42518,1427005
India,"Aug 9, 2020 @ 00:00:00.000",2153010,43379,1480884
India,"Aug 10, 2020 @ 00:00:00.000",2215074,44386,1535743
India,"Aug 11, 2020 @ 00:00:00.000",2268675,45257,1583489
India,"Aug 12, 2020 @ 00:00:00.000",2329638,46091,1639599
India,"Aug 13, 2020 @ 00:00:00.000",2396637,47033,1695982
India,"Aug 14, 2020 @ 00:00:00.000",2461190,48040,1751555
India,"Aug 15, 2020 @ 00:00:00.000",2525922,49036,1808936
India,"Aug 16, 2020 @ 00:00:00.000",2589952,49980,1862258
India,"Aug 17, 2020 @ 00:00:00.000",2647663,50921,1919842
India,"Aug 18, 2020 @ 00:00:00.000",2702681,51797,1977671
India,"Aug 19, 2020 @ 00:00:00.000",2767253,52888,2037816
India,"Aug 20, 2020 @ 00:00:00.000",2836925,53866,2096664
India,"Aug 21, 2020 @ 00:00:00.000",2905825,54849,2158946
India,"Aug 22, 2020 @ 00:00:00.000",2975701,55794,2222577
India,"Aug 23, 2020 @ 00:00:00.000",3044940,56706,2280566
India,"Jan 23, 2020 @ 00:00:00.000",0,0,0
India,"Jan 24, 2020 @ 00:00:00.000",0,0,0
India,"Jan 25, 2020 @ 00:00:00.000",0,0,0
India,"Jan 26, 2020 @ 00:00:00.000",0,0,0
India,"Jan 27, 2020 @ 00:00:00.000",0,0,0
India,"Jan 28, 2020 @ 00:00:00.000",0,0,0
India,"Jan 29, 2020 @ 00:00:00.000",0,0,0
India,"Jan 30, 2020 @ 00:00:00.000",0,0,0
India,"Jan 31, 2020 @ 00:00:00.000",1,0,0
India,"Feb 1, 2020 @ 00:00:00.000",1,0,0
India,"Feb 2, 2020 @ 00:00:00.000",1,0,0
India,"Feb 3, 2020 @ 00:00:00.000",2,0,0
India,"Feb 4, 2020 @ 00:00:00.000",3,0,0
India,"Feb 5, 2020 @ 00:00:00.000",3,0,0
India,"Feb 6, 2020 @ 00:00:00.000",3,0,0
India,"Feb 7, 2020 @ 00:00:00.000",3,0,0
India,"Feb 8, 2020 @ 00:00:00.000",3,0,0
India,"Feb 9, 2020 @ 00:00:00.000",3,0,0
India,"Feb 10, 2020 @ 00:00:00.000",3,0,0
India,"Feb 11, 2020 @ 00:00:00.000",3,0,0
India,"Feb 12, 2020 @ 00:00:00.000",3,0,0
India,"Feb 13, 2020 @ 00:00:00.000",3,0,0
India,"Feb 14, 2020 @ 00:00:00.000",3,0,0
India,"Feb 15, 2020 @ 00:00:00.000",3,0,0
India,"Feb 16, 2020 @ 00:00:00.000",3,0,0
India,"Feb 17, 2020 @ 00:00:00.000",3,0,3
India,"Feb 18, 2020 @ 00:00:00.000",3,0,3
India,"Feb 19, 2020 @ 00:00:00.000",3,0,3
India,"Feb 20, 2020 @ 00:00:00.000",3,0,3
India,"Feb 21, 2020 @ 00:00:00.000",3,0,3
India,"Feb 22, 2020 @ 00:00:00.000",3,0,3
India,"Feb 23, 2020 @ 00:00:00.000",3,0,3
India,"Feb 24, 2020 @ 00:00:00.000",3,0,3
India,"Feb 25, 2020 @ 00:00:00.000",3,0,3
India,"Feb 26, 2020 @ 00:00:00.000",3,0,3
India,"Feb 27, 2020 @ 00:00:00.000",3,0,3
India,"Feb 28, 2020 @ 00:00:00.000",3,0,3
India,"Feb 29, 2020 @ 00:00:00.000",3,0,3
India,"Mar 1, 2020 @ 00:00:00.000",3,0,3
India,"Mar 2, 2020 @ 00:00:00.000",3,0,3
India,"Mar 3, 2020 @ 00:00:00.000",5,0,3
India,"Mar 4, 2020 @ 00:00:00.000",5,0,3
India,"Mar 5, 2020 @ 00:00:00.000",28,0,3
India,"Mar 6, 2020 @ 00:00:00.000",30,0,3
India,"Mar 7, 2020 @ 00:00:00.000",31,0,3
India,"Mar 8, 2020 @ 00:00:00.000",34,0,3
India,"Mar 9, 2020 @ 00:00:00.000",39,0,3
India,"Mar 10, 2020 @ 00:00:00.000",43,0,3
India,"Mar 11, 2020 @ 00:00:00.000",56,0,4
India,"Mar 12, 2020 @ 00:00:00.000",62,1,4
India,"Mar 13, 2020 @ 00:00:00.000",73,1,4
India,"Mar 14, 2020 @ 00:00:00.000",82,2,4
India,"Mar 15, 2020 @ 00:00:00.000",102,2,4
India,"Mar 16, 2020 @ 00:00:00.000",113,2,13
India,"Mar 17, 2020 @ 00:00:00.000",119,2,13
India,"Mar 18, 2020 @ 00:00:00.000",142,3,14
India,"Mar 19, 2020 @ 00:00:00.000",156,3,14
India,"Mar 20, 2020 @ 00:00:00.000",194,4,15
India,"Mar 21, 2020 @ 00:00:00.000",244,5,20
India,"Mar 22, 2020 @ 00:00:00.000",330,4,23
India,"Mar 23, 2020 @ 00:00:00.000",396,7,27
India,"Mar 24, 2020 @ 00:00:00.000",499,10,27
India,"Mar 25, 2020 @ 00:00:00.000",536,10,40
India,"Mar 26, 2020 @ 00:00:00.000",657,12,43
India,"Mar 27, 2020 @ 00:00:00.000",727,20,45
India,"Mar 28, 2020 @ 00:00:00.000",887,20,73
India,"Mar 29, 2020 @ 00:00:00.000",987,24,84
India,"Mar 30, 2020 @ 00:00:00.000",1024,27,95
India,"Mar 31, 2020 @ 00:00:00.000",1251,32,102
India,"Apr 1, 2020 @ 00:00:00.000",1397,35,123
India,"Apr 2, 2020 @ 00:00:00.000",1998,58,148
India,"Apr 3, 2020 @ 00:00:00.000",2543,72,191
India,"Apr 4, 2020 @ 00:00:00.000",2567,72,192
India,"Apr 5, 2020 @ 00:00:00.000",3082,86,229
India,"Apr 6, 2020 @ 00:00:00.000",3588,99,229
India,"Apr 7, 2020 @ 00:00:00.000",4778,136,375
India,"Apr 8, 2020 @ 00:00:00.000",5311,150,421
India,"Apr 9, 2020 @ 00:00:00.000",5916,178,506
India,"Apr 10, 2020 @ 00:00:00.000",6725,226,620
