country,date,confirmed,deaths,recovered
Russia,"Jan 23, 2020 @ 00:00:00.000",0,0,0
Russia,"Jan 24, 2020 @ 00:00:00.000",0,0,0
Russia,"Jan 25, 2020 @ 00:00:00.000",0,0,0
Russia,"Jan 26, 2020 @ 00:00:00.000",0,0,0
Russia,"Jan 27, 2020 @ 00:00:00.000",0,0,0
Russia,"Jan 28, 2020 @ 00:00:00.000",0,0,0
Russia,"Jan 29, 2020 @ 00:00:00.000",0,0,0
Russia,"Jan 30, 2020 @ 00:00:00.000",0,0,0
Russia,"Jan 31, 2020 @ 00:00:00.000",0,0,0
Russia,"Feb 1, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 2, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 3, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 4, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 5, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 6, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 7, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 8, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 9, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 10, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 11, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 12, 2020 @ 00:00:00.000",2,0,0
Russia,"Feb 13, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 14, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 15, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 16, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 17, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 18, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 19, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 20, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 21, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 22, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 23, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 24, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 25, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 26, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 27, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 28, 2020 @ 00:00:00.000",2,0,2
Russia,"Feb 29, 2020 @ 00:00:00.000",2,0,2
Russia,"Mar 1, 2020 @ 00:00:00.000",2,0,2
Russia,"Mar 2, 2020 @ 00:00:00.000",2,0,2
Russia,"Mar 3, 2020 @ 00:00:00.000",3,0,2
Russia,"Mar 4, 2020 @ 00:00:00.000",3,0,2
Russia,"Mar 5, 2020 @ 00:00:00.000",3,0,2
Russia,"Mar 6, 2020 @ 00:00:00.000",4,0,2
Russia,"Mar 7, 2020 @ 00:00:00.000",13,0,2
Russia,"Mar 8, 2020 @ 00:00:00.000",13,0,2
Russia,"Mar 9, 2020 @ 00:00:00.000",17,0,3
Russia,"Mar 10, 2020 @ 00:00:00.000",17,0,3
