country,date,confirmed,deaths,recovered
US,"Jan 23, 2020 @ 00:00:00.000",1,0,0
US,"Jan 24, 2020 @ 00:00:00.000",1,0,0
US,"Jan 25, 2020 @ 00:00:00.000",2,0,0
US,"Jan 26, 2020 @ 00:00:00.000",2,0,0
US,"Jan 27, 2020 @ 00:00:00.000",5,0,0
US,"Jan 28, 2020 @ 00:00:00.000",5,0,0
US,"Jan 29, 2020 @ 00:00:00.000",5,0,0
US,"Jan 30, 2020 @ 00:00:00.000",5,0,0
US,"Jan 31, 2020 @ 00:00:00.000",5,0,0
US,"Feb 1, 2020 @ 00:00:00.000",7,0,0
US,"Feb 2, 2020 @ 00:00:00.000",8,0,0
US,"Feb 3, 2020 @ 00:00:00.000",8,0,0
US,"Feb 4, 2020 @ 00:00:00.000",11,0,0
US,"Feb 5, 2020 @ 00:00:00.000",11,0,0
US,"Feb 6, 2020 @ 00:00:00.000",11,0,0
US,"Feb 7, 2020 @ 00:00:00.000",11,0,0
US,"Feb 8, 2020 @ 00:00:00.000",11,0,0
US,"Feb 9, 2020 @ 00:00:00.000",11,0,0
US,"Feb 10, 2020 @ 00:00:00.000",11,0,3
US,"Feb 11, 2020 @ 00:00:00.000",11,0,3
US,"Feb 12, 2020 @ 00:00:00.000",12,0,3
US,"Feb 13, 2020 @ 00:00:00.000",12,0,3
US,"Feb 14, 2020 @ 00:00:00.000",13,0,3
US,"Feb 15, 2020 @ 00:00:00.000",13,0,3
US,"Feb 16, 2020 @ 00:00:00.000",13,0,3
US,"Feb 17, 2020 @ 00:00:00.000",13,0,3
US,"Feb 18, 2020 @ 00:00:00.000",13,0,3
US,"Feb 19, 2020 @ 00:00:00.000",13,0,3
US,"Feb 20, 2020 @ 00:00:00.000",13,0,3
US,"Feb 21, 2020 @ 00:00:00.000",13,0,3
US,"Feb 22, 2020 @ 00:00:00.000",15,0,5
US,"Feb 23, 2020 @ 00:00:00.000",15,0,5
US,"Feb 24, 2020 @ 00:00:00.000",15,0,5
US,"Feb 25, 2020 @ 00:00:00.000",15,0,5
US,"Feb 26, 2020 @ 00:00:00.000",15,0,6
US,"Feb 27, 2020 @ 00:00:00.000",15,0,6
US,"Feb 28, 2020 @ 00:00:00.000",16,0,6
US,"Feb 29, 2020 @ 00:00:00.000",16,0,7
US,"Mar 1, 2020 @ 00:00:00.000",24,1,7
US,"Mar 2, 2020 @ 00:00:00.000",30,1,7
US,"Mar 3, 2020 @ 00:00:00.000",53,6,7
US,"Mar 4, 2020 @ 00:00:00.000",73,7,7
US,"Mar 5, 2020 @ 00:00:00.000",104,11,7
US,"Mar 6, 2020 @ 00:00:00.000",174,12,7
US,"Mar 7, 2020 @ 00:00:00.000",222,14,7
US,"Mar 8, 2020 @ 00:00:00.000",337,17,7
US,"Mar 9, 2020 @ 00:00:00.000",451,21,7
US,"Mar 10, 2020 @ 00:00:00.000",519,22,7
US,"Mar 11, 2020 @ 00:00:00.000",711,28,8
US,"Mar 12, 2020 @ 00:00:00.000",1109,33,8
US,"Mar 13, 2020 @ 00:00:00.000",1561,43,12
US,"Mar 14, 2020 @ 00:00:00.000",2157,52,12
US,"Mar 15, 2020 @ 00:00:00.000",2870,58,12
US,"Mar 16, 2020 @ 00:00:00.000",2968,70,12
US,"Mar 17, 2020 @ 00:00:00.000",4360,97,17
US,"Mar 18, 2020 @ 00:00:00.000",6141,132,17
US,"Mar 19, 2020 @ 00:00:00.000",8917,191,105
US,"Mar 20, 2020 @ 00:00:00.000",14157,269,121
US,"Mar 21, 2020 @ 00:00:00.000",19479,368,147
US,"Mar 22, 2020 @ 00:00:00.000",25825,463,176
US,"Mar 23, 2020 @ 00:00:00.000",33761,611,178
US,"Mar 24, 2020 @ 00:00:00.000",43850,798,178
US,"Mar 25, 2020 @ 00:00:00.000",54112,1040,348
US,"Mar 26, 2020 @ 00:00:00.000",66055,1356,361
US,"Mar 27, 2020 @ 00:00:00.000",84091,1778,681
US,"Mar 28, 2020 @ 00:00:00.000",102276,2341,869
US,"Mar 29, 2020 @ 00:00:00.000",122069,2995,1072
US,"Mar 30, 2020 @ 00:00:00.000",141205,3629,2665
US,"Mar 31, 2020 @ 00:00:00.000",162707,4463,5644
US,"Apr 1, 2020 @ 00:00:00.000",188724,5718,7024
US,"Apr 2, 2020 @ 00:00:00.000",214205,6986,8474
US,"Apr 3, 2020 @ 00:00:00.000",244610,8599,9001
US,"Apr 4, 2020 @ 00:00:00.000",276547,9936,9707
US,"Apr 5, 2020 @ 00:00:00.000",309699,11263,14652
US,"Apr 6, 2020 @ 00:00:00.000",337573,12765,17448
US,"Apr 7, 2020 @ 00:00:00.000",367215,14504,19581
US,"Apr 8, 2020 @ 00:00:00.000",397992,16883,21763
US,"Apr 9, 2020 @ 00:00:00.000",429686,19065,23559
US,"Apr 10, 2020 @ 00:00:00.000",464442,21216,25410
US,"Apr 11, 2020 @ 00:00:00.000",497943,23362,28790
US,"Apr 12, 2020 @ 00:00:00.000",527969,25486,31270
US,"Apr 13, 2020 @ 00:00:00.000",556522,27336,32988
US,"Apr 14, 2020 @ 00:00:00.000",581813,29242,43482
US,"Apr 15, 2020 @ 00:00:00.000",608878,31699,47763
US,"Apr 16, 2020 @ 00:00:00.000",637974,34308,52096
US,"Apr 17, 2020 @ 00:00:00.000",669272,36483,54703
US,"Apr 18, 2020 @ 00:00:00.000",701996,39149,58545
US,"Apr 19, 2020 @ 00:00:00.000",730337,41594,64840
US,"Apr 20, 2020 @ 00:00:00.000",756375,42870,70337
US,"Apr 21, 2020 @ 00:00:00.000",783716,44704,72329
US,"Apr 22, 2020 @ 00:00:00.000",809318,47208,75204
US,"Apr 23, 2020 @ 00:00:00.000",837422,49639,77366
US,"Apr 24, 2020 @ 00:00:00.000",871617,52108,80203
US,"Apr 25, 2020 @ 00:00:00.000",907908,54262,99079
US,"Apr 26, 2020 @ 00:00:00.000",940829,55959,100372
US,"Apr 27, 2020 @ 00:00:00.000",968518,57289,106988
US,"Apr 28, 2020 @ 00:00:00.000",990983,58756,111424
US,"Apr 29, 2020 @ 00:00:00.000",1015518,60997,115936
US,"Apr 30, 2020 @ 00:00:00.000",1043038,63518,120720
US,"May 1, 2020 @ 00:00:00.000",1072667,65842,153947
US,"May 2, 2020 @ 00:00:00.000",1106829,67733,164015
US,"May 3, 2020 @ 00:00:00.000",1136024,69425,175382
US,"May 4, 2020 @ 00:00:00.000",1161611,70546,180152
US,"May 5, 2020 @ 00:00:00.000",1184086,71879,187180
US,"May 6, 2020 @ 00:00:00.000",1208271,74197,189791
US,"May 7, 2020 @ 00:00:00.000",1233527,76560,189910
US,"May 8, 2020 @ 00:00:00.000",1261409,78496,195036
US,"May 9, 2020 @ 00:00:00.000",1288587,80243,198993
US,"May 10, 2020 @ 00:00:00.000",1314320,81731,212534
US,"May 11, 2020 @ 00:00:00.000",1334084,82625,216169
US,"May 12, 2020 @ 00:00:00.000",1352962,83640,232733
US,"May 13, 2020 @ 00:00:00.000",1375152,85266,230287
US,"May 14, 2020 @ 00:00:00.000",1396110,87029,243430
US,"May 15, 2020 @ 00:00:00.000",1423727,88812,246414
US,"May 16, 2020 @ 00:00:00.000",1449027,90493,250747
US,"May 17, 2020 @ 00:00:00.000",1474128,91709,268376
